,originalTitle,rating,startYear,endYear,runtimeMinutes,awardWins,totalImages,totalVideos,totalCredits,criticReviewsTotal,titleType,awardNominationsExcludeWins,canHaveEpisodes,isRatable,isAdult,numRegions,userReviewsTotal,countryOfOrigin,genre1,genre2,genre3,totVotes
9230,Will Forte/Milo Ventimiglia/Future,6,2017,,41,0.0,0,0,14,0,tvEpisode,0,False,True,False,1,0,['US'],Comedy,Music,Talk-Show,17
9231,Hunger at Sea (Oceans),9,2015,,57,0.0,14,0,29,1,tvEpisode,0,False,True,False,1,1,['GB'],Documentary,,,258
9232,Surprise... It's Restaurant Wars,8,2018,,44,0.0,1,0,80,0,tvEpisode,0,False,True,False,1,0,['US'],Game-Show,Reality-Tv,,27
9233,Yazik Oldu Yarinlara,6,1974,,79,,1,0,40,0,movie,0,False,True,False,2,0,['TR'],Drama,Romance,,69
9234,Upsy Daisy Kisses Everything,6,2007,,40,0.0,2,0,79,0,tvEpisode,0,False,True,False,1,0,['GB'],Adventure,Comedy,Family,7
9235,Sauce for the Goose,8,1975,,60,0.0,32,0,48,0,tvEpisode,0,False,True,False,1,0,['US'],Western,,,24
9236,Büyük yemin,4,1963,,92,,3,0,26,0,movie,0,False,True,False,2,0,['TR'],Drama,Romance,,11
9237,Army of One,9,2001,,60,,26,0,246,1,tvEpisode,0,False,True,False,1,13,['US'],Crime,Drama,,8189
9238,Hunting Death,7,1996,,40,0.0,13,0,5,0,tvEpisode,0,False,True,False,1,0,['JP'],Action,Animation,Comedy,16
9239,The Inhuman Predicament,8,1967,,40,0.0,0,0,27,0,tvEpisode,0,False,True,False,1,0,['US'],Drama,,,12
9240,V-r,6,2006,,0,,0,0,1,0,short,0,False,True,False,1,0,['US'],Short,,,6
9241,Candace Parker,9,2020,,23,0.0,1,0,29,0,tvEpisode,0,False,True,False,1,0,['US'],Biography,Documentary,Drama,11
9242,Resnick: Rough Treatment,7,1993,,81,0.0,91,0,62,0,tvMovie,0,False,True,False,1,0,['GB'],Crime,Drama,Mystery,30
9243,Episode #1.724,8,1969,,30,0.0,1,0,25,0,tvEpisode,0,False,True,False,7,1,['US'],Drama,Fantasy,Horror,32
9244,Fruit Ninja,6,2010,,28,0.0,5,0,4,0,videoGame,0,False,True,False,1,0,['AU'],Action,,,702
9245,Time Device,3,2016,,66,0.0,2,0,11,0,movie,0,False,True,False,1,0,['US'],Sci-Fi,,,18
9246,One Punch Killers,8,2016,,60,0.0,0,0,22,0,tvMovie,0,False,True,False,1,0,['GB'],Documentary,,,11
9247,Kind van de zon,7,1975,,90,0.0,1,0,49,0,movie,1,False,True,False,2,0,['NL'],Drama,,,33
9248,The Three Don'ts,6,2017,,96,1.0,3,0,51,0,movie,0,False,True,False,4,3,['IE'],Action,Comedy,Crime,60
9249,Ladies of Leisure,7,1930,,92,0.0,21,0,31,20,movie,0,False,True,False,16,37,['US'],Drama,Romance,,1425
9250,The Clampett-Hewes Empire,8,1970,,30,0.0,1,0,49,0,tvEpisode,0,False,True,False,1,1,['US'],Comedy,Family,,75
9251,Vater wider Willen,5,1995,2002.0,53,0.0,2,0,111,0,tvSeries,0,True,True,False,2,0,['DE'],Comedy,,,12
9252,Newly Rich,7,1931,,77,,6,0,32,1,movie,0,False,True,False,10,7,['US'],Comedy,,,81
9253,Race 3,2,2018,,160,2.0,65,1,366,24,movie,2,False,True,False,16,470,['IN'],Action,Crime,Thriller,48939
9254,The American Revolution,8,2019,,120,0.0,7,1,79,0,movie,0,False,True,False,4,4,['US'],Documentary,,,110
9255,Detained,8,2016,,42,0.0,5,0,133,5,tvEpisode,0,False,True,False,1,2,['GB'],Drama,Sci-Fi,,496
9256,Jedenaste przykazanie,7,1988,,86,0.0,1,0,49,0,tvMovie,0,False,True,False,1,0,['PL'],Drama,Romance,,21
9257,Planet Alex,7,2001,,102,0.0,31,0,51,0,movie,2,False,True,False,1,1,['DE'],Comedy,Drama,Fantasy,64
9258,UnExpected Reasons,9,2018,,92,0.0,1,0,18,0,movie,0,False,True,False,1,0,['US'],Drama,Thriller,,9
9259,Maya Rudolph,7,2020,,40,0.0,0,0,19,0,tvEpisode,0,False,True,False,1,0,['US'],Comedy,Talk-Show,,15
9260,Amok,6,1983,,103,1.0,1,0,38,1,movie,0,False,True,False,6,2,"['MA', 'GN', 'SN']",Drama,,,36
9261,Emperor,5,2008,,96,0.0,1,0,20,0,movie,1,False,True,False,2,0,"['MY', 'DE']",Crime,Thriller,,24
9262,Otra vuelta más,9,2023,,40,0.0,1,0,216,0,tvEpisode,0,False,True,False,1,0,['AR'],Horror,Mystery,,7
9263,Mitzi,8,1968,,54,0.0,7,0,42,1,tvSpecial,1,False,True,False,1,0,['US'],Musical,,,19
9264,Suffløsen,7,1999,,100,4.0,5,0,61,1,movie,2,False,True,False,6,4,"['SE', 'NO']",Comedy,Drama,Romance,246
9265,Three the Hard Way,7,1981,,30,0.0,6,0,45,2,tvEpisode,0,False,True,False,1,1,['US'],Comedy,Family,Sci-Fi,86
9266,Ted Atkinson & Fernando Lamas,9,1957,,30,0.0,0,0,21,0,tvEpisode,0,False,True,False,1,0,['US'],Family,Game-Show,,25
9267,Chii's Sweet Home: Atarashii Ouchi,7,2009,2009.0,3,0.0,0,0,4,0,tvSeries,0,True,True,False,1,0,['JP'],Animation,,,10
9268,I'm an Influencer! #LookOut,7,2023,,40,,0,0,68,1,tvEpisode,0,False,True,False,1,0,['BR'],Comedy,,,19
9269,Soft Money,7,1919,,13,0.0,1,0,23,0,short,0,False,True,False,2,1,['US'],Comedy,Short,,13
9270,I soliti idioti 3: Il ritorno,5,2024,,100,0.0,1,1,62,2,movie,0,False,True,False,2,2,['IT'],Comedy,,,272
9271,Hardcore Models,5,2004,,88,,0,0,28,0,video,0,False,True,True,3,1,"['US', 'FR']",Adult,Romance,,16
9272,Dansk melodi grand prix,5,1988,,82,0.0,0,0,12,0,tvSpecial,0,False,True,False,1,0,['DK'],Music,,,18
9273,The Lion,8,2018,,66,0.0,3,0,12,0,movie,0,False,True,False,3,1,['US'],Musical,,,36
9274,Fuga de prisión,8,2020,,40,0.0,1,0,51,0,tvEpisode,0,False,True,False,1,0,['MX'],Action,Adventure,Drama,8
9275,Scout toujours...,6,1985,,98,0.0,4,0,105,2,movie,0,False,True,False,3,2,['FR'],Comedy,,,972
9276,Bad-e Jenn,8,1969,,22,0.0,1,0,5,2,short,0,False,True,False,5,0,['IR'],Documentary,Short,,110
9277,Episode #1.211,7,1988,,40,0.0,0,0,24,0,tvEpisode,0,False,True,False,7,0,['US'],Drama,Romance,,9
9278,Part Two,5,1991,,65,0.0,2,0,55,1,tvEpisode,0,False,True,False,1,0,['SUHH'],Adventure,Fantasy,,21
9279,Nagykarácsony,7,2021,,110,1.0,50,0,174,0,movie,1,False,True,False,5,5,['HU'],Comedy,Romance,,1505
9280,Yours Sincerely,6,1933,,19,0.0,2,0,18,1,short,0,False,True,False,1,6,['US'],Comedy,Musical,Short,121
9281,Chudo-moroz,6,1976,,9,0.0,3,0,18,0,short,0,False,True,False,1,0,['SUHH'],Animation,Short,,11
9282,Le vitrail diabolique,6,1910,,7,0.0,2,0,2,1,short,0,False,True,False,2,6,['FR'],Short,,,174
9283,My Paintbrush Bites,9,2018,,16,9.0,8,0,15,0,short,0,False,True,False,1,0,['US'],Biography,Comedy,Documentary,10
9284,Hanging Pictures,8,2010,,23,0.0,4,0,61,0,tvEpisode,0,False,True,False,1,0,['CA'],Comedy,,,17
9285,En mil pedazos,5,1980,,90,0.0,3,0,41,0,movie,1,False,True,False,1,0,"['ES', 'MX']",Drama,Thriller,,12
9286,In Faith We Grow: The Story of Pasture Valley Children's Home,9,2017,,44,2.0,10,0,21,0,short,1,False,True,False,1,0,['US'],Documentary,Short,,11
9287,Frauen ohne Unschuld,5,1978,,76,,33,0,18,8,movie,0,False,True,False,12,8,['CH'],Horror,Mystery,Thriller,404
9288,Totalschaden,7,2010,,47,,1,0,55,0,tvEpisode,0,False,True,False,1,0,['AT'],Comedy,Crime,,15
9289,Jeremy,7,1973,,90,1.0,27,1,54,16,movie,2,False,True,False,15,30,['US'],Drama,Music,Romance,1107
9290,The Editor: A Man I Despise,9,2008,,25,0.0,5,0,30,4,short,0,False,True,False,1,0,['US'],Drama,Short,,26
